player_id,signup_date,country,platform,acquisition_channel,age_group,experiment_group
P00960,2026-01-10,India,Android,Organic,25-34,Control
P00961,2026-01-15,United Kingdom,iOS,Organic,18-24,Daily_Reward
P00962,2026-01-10,India,Android,Organic,35-44,Daily_Reward
P00963,2026-01-06,India,Android,Organic,25-34,Free_Hint
P00964,2026-01-12,United States,Android,Organic,45+,Daily_Reward
P00965,2026-01-03,United States,Android,TikTok Ads,35-44,Daily_Reward
P00966,2026-01-12,India,iOS,Meta Ads,45+,Free_Hint
P00967,2026-01-10,India,Android,TikTok Ads,18-24,Daily_Reward
P00968,2026-01-04,United States,Android,Organic,25-34,Daily_Reward
P00969,2026-01-09,Canada,iOS,Google Ads,45+,Control
P00970,2026-01-09,India,Android,Google Ads,25-34,Daily_Reward
P00971,2026-01-10,India,Android,Meta Ads,18-24,Daily_Reward
P00972,2026-01-09,United States,Android,Referral,35-44,Free_Hint
P00973,2026-01-11,India,Android,Google Ads,18-24,Daily_Reward
P00974,2026-01-12,Australia,Android,Referral,35-44,Daily_Reward
P00975,2026-01-06,Canada,Android,Google Ads,25-34,Control
P00976,2026-01-10,United States,Android,Organic,18-24,Control
P00977,2026-01-12,India,Android,TikTok Ads,18-24,Free_Hint
P00978,2026-01-06,India,Android,Organic,25-34,Daily_Reward
P00979,2026-01-02,Canada,Android,Organic,18-24,Daily_Reward
P00980,2026-01-13,Australia,Android,TikTok Ads,35-44,Control
P00981,2026-01-04,India,Android,Organic,25-34,Control
P00982,2026-01-02,United States,Android,Organic,25-34,Daily_Reward
P00983,2026-01-15,United States,iOS,TikTok Ads,18-24,Control
P00984,2026-01-04,India,iOS,Organic,35-44,Daily_Reward
P00985,2026-01-05,United Kingdom,Android,Google Ads,35-44,Daily_Reward
P00986,2026-01-02,Canada,Android,Organic,25-34,Free_Hint
P00987,2026-01-07,United States,Android,Google Ads,25-34,Daily_Reward
P00988,2026-01-15,United States,Android,Referral,18-24,Daily_Reward
P00989,2026-01-01,United Kingdom,iOS,Organic,18-24,Daily_Reward
P00990,2026-01-14,India,Android,TikTok Ads,45+,Daily_Reward
P00991,2026-01-07,India,Android,Google Ads,25-34,Free_Hint
P00992,2026-01-04,Australia,Android,Meta Ads,35-44,Daily_Reward
P00993,2026-01-02,India,Android,TikTok Ads,25-34,Free_Hint
P00994,2026-01-09,India,iOS,Meta Ads,35-44,Daily_Reward
P00995,2026-01-11,India,Android,TikTok Ads,45+,Free_Hint
P00996,2026-01-02,India,Android,Organic,45+,Free_Hint
P00997,2026-01-11,India,iOS,TikTok Ads,35-44,Daily_Reward
P00998,2026-01-01,Australia,Android,Organic,25-34,Daily_Reward
P00999,2026-01-03,United States,Android,Google Ads,25-34,Free_Hint
P01000,2026-01-03,United States,Android,Referral,35-44,Control
P01001,2026-01-14,India,iOS,Google Ads,18-24,Daily_Reward
P01002,2026-01-02,India,Android,Organic,45+,Free_Hint
P01003,2026-01-07,Australia,Android,Organic,18-24,Daily_Reward
P01004,2026-01-04,India,iOS,Referral,18-24,Control
P01005,2026-01-12,United States,iOS,TikTok Ads,25-34,Control
P01006,2026-01-06,Australia,Android,Organic,25-34,Daily_Reward
P01007,2026-01-10,India,Android,Organic,35-44,Control
P01008,2026-01-10,Australia,Android,Google Ads,25-34,Control
P01009,2026-01-01,Australia,Android,Meta Ads,25-34,Control
P01010,2026-01-04,United States,Android,Meta Ads,25-34,Free_Hint
P01011,2026-01-04,United States,Android,Google Ads,25-34,Control
P01012,2026-01-15,United States,iOS,TikTok Ads,18-24,Free_Hint
P01013,2026-01-08,Australia,Android,Referral,35-44,Daily_Reward
P01014,2026-01-01,United States,Android,Organic,18-24,Control
P01015,2026-01-10,Canada,iOS,Google Ads,18-24,Free_Hint
P01016,2026-01-14,United States,Android,TikTok Ads,45+,Free_Hint
P01017,2026-01-03,United Kingdom,iOS,Organic,18-24,Control
P01018,2026-01-15,India,iOS,Organic,25-34,Daily_Reward
P01019,2026-01-02,United States,Android,Organic,35-44,Control
P01020,2026-01-01,India,iOS,TikTok Ads,18-24,Daily_Reward
P01021,2026-01-12,India,Android,Organic,25-34,Daily_Reward
P01022,2026-01-02,United States,iOS,Organic,35-44,Control
P01023,2026-01-10,United States,Android,Google Ads,25-34,Control
P01024,2026-01-09,United States,Android,Google Ads,25-34,Free_Hint
P01025,2026-01-06,India,Android,Google Ads,25-34,Control
P01026,2026-01-10,India,Android,Organic,25-34,Daily_Reward
P01027,2026-01-14,India,Android,Organic,25-34,Control
P01028,2026-01-14,United Kingdom,Android,Google Ads,35-44,Daily_Reward
P01029,2026-01-09,United States,Android,Google Ads,45+,Daily_Reward
P01030,2026-01-06,India,iOS,Organic,18-24,Control
P01031,2026-01-13,United Kingdom,Android,Meta Ads,18-24,Control
P01032,2026-01-12,India,Android,Organic,25-34,Daily_Reward
P01033,2026-01-01,Canada,iOS,Organic,35-44,Control
P01034,2026-01-14,India,Android,Meta Ads,18-24,Daily_Reward
P01035,2026-01-03,Canada,Android,Google Ads,18-24,Free_Hint
P01036,2026-01-14,Australia,Android,Organic,45+,Control
P01037,2026-01-04,Canada,iOS,Google Ads,18-24,Control
P01038,2026-01-03,Canada,Android,Google Ads,25-34,Control
P01039,2026-01-01,India,iOS,Organic,18-24,Control
P01040,2026-01-09,India,Android,Organic,35-44,Free_Hint
P01041,2026-01-10,United Kingdom,Android,Organic,25-34,Control
P01042,2026-01-10,United States,Android,Meta Ads,45+,Control
P01043,2026-01-05,United States,Android,Meta Ads,25-34,Daily_Reward
P01044,2026-01-06,Australia,Android,Meta Ads,25-34,Control
P01045,2026-01-02,India,Android,Referral,35-44,Control
P01046,2026-01-06,Canada,Android,Organic,25-34,Control
P01047,2026-01-11,India,Android,Google Ads,18-24,Free_Hint
P01048,2026-01-02,United States,Android,Organic,18-24,Free_Hint
P01049,2026-01-05,United States,Android,TikTok Ads,25-34,Control
P01050,2026-01-01,United States,Android,Organic,45+,Daily_Reward
P01051,2026-01-02,India,Android,Google Ads,25-34,Daily_Reward
P01052,2026-01-06,United States,Android,Google Ads,25-34,Control
P01053,2026-01-05,India,Android,Organic,35-44,Free_Hint
P01054,2026-01-08,United States,Android,TikTok Ads,35-44,Control
P01055,2026-01-04,India,Android,Meta Ads,45+,Free_Hint
P01056,2026-01-04,United States,Android,Meta Ads,25-34,Free_Hint
P01057,2026-01-03,India,Android,TikTok Ads,18-24,Free_Hint
P01058,2026-01-13,Australia,Android,Organic,25-34,Control
P01059,2026-01-07,India,iOS,Referral,35-44,Control
P01060,2026-01-09,India,iOS,Meta Ads,18-24,Control
P01061,2026-01-04,India,Android,Organic,35-44,Daily_Reward
P01062,2026-01-04,India,Android,Organic,18-24,Daily_Reward
P01063,2026-01-10,United States,Android,Google Ads,18-24,Free_Hint
P01064,2026-01-11,United States,Android,Google Ads,25-34,Control
P01065,2026-01-13,United Kingdom,Android,Organic,18-24,Control
P01066,2026-01-15,Australia,Android,Meta Ads,18-24,Daily_Reward
P01067,2026-01-13,Canada,Android,Organic,45+,Free_Hint
P01068,2026-01-13,India,Android,Organic,35-44,Free_Hint
P01069,2026-01-01,India,Android,Meta Ads,25-34,Control
P01070,2026-01-13,United States,iOS,Organic,18-24,Daily_Reward
P01071,2026-01-06,India,Android,Google Ads,35-44,Daily_Reward
P01072,2026-01-01,Australia,Android,TikTok Ads,45+,Daily_Reward
P01073,2026-01-06,India,Android,Google Ads,25-34,Daily_Reward
P01074,2026-01-15,India,Android,TikTok Ads,35-44,Control
P01075,2026-01-08,United States,Android,Referral,45+,Daily_Reward
P01076,2026-01-04,Canada,Android,TikTok Ads,45+,Control
P01077,2026-01-10,India,Android,Referral,35-44,Free_Hint
P01078,2026-01-10,United States,Android,TikTok Ads,18-24,Daily_Reward
P01079,2026-01-04,India,Android,TikTok Ads,18-24,Free_Hint
P01080,2026-01-07,Australia,Android,Organic,18-24,Daily_Reward
P01081,2026-01-10,India,Android,Google Ads,35-44,Free_Hint
P01082,2026-01-10,India,Android,Meta Ads,45+,Daily_Reward
P01083,2026-01-12,United States,iOS,Organic,25-34,Control
P01084,2026-01-08,India,Android,Meta Ads,25-34,Free_Hint
P01085,2026-01-10,India,Android,Meta Ads,18-24,Control
P01086,2026-01-13,India,iOS,Google Ads,25-34,Free_Hint
P01087,2026-01-07,United States,Android,Meta Ads,18-24,Daily_Reward
P01088,2026-01-13,United States,Android,Organic,25-34,Daily_Reward
P01089,2026-01-01,United States,Android,TikTok Ads,45+,Control
P01090,2026-01-11,Australia,iOS,Organic,18-24,Daily_Reward
P01091,2026-01-03,India,iOS,Google Ads,35-44,Daily_Reward
P01092,2026-01-08,India,iOS,TikTok Ads,18-24,Free_Hint
P01093,2026-01-13,Australia,Android,TikTok Ads,35-44,Control
P01094,2026-01-01,United States,iOS,Meta Ads,25-34,Control
P01095,2026-01-14,United Kingdom,Android,Organic,45+,Free_Hint
P01096,2026-01-11,India,Android,TikTok Ads,45+,Control
P01097,2026-01-13,United States,iOS,Google Ads,25-34,Daily_Reward
P01098,2026-01-09,India,Android,TikTok Ads,25-34,Control
P01099,2026-01-12,Canada,Android,Referral,18-24,Free_Hint
P01100,2026-01-06,India,Android,Referral,18-24,Free_Hint
P01101,2026-01-07,Canada,Android,Organic,18-24,Free_Hint
P01102,2026-01-15,India,Android,Referral,35-44,Free_Hint
P01103,2026-01-06,India,Android,Meta Ads,25-34,Free_Hint
P01104,2026-01-02,India,Android,Google Ads,25-34,Free_Hint
P01105,2026-01-14,United States,iOS,Meta Ads,35-44,Daily_Reward
P01106,2026-01-10,India,Android,Google Ads,25-34,Free_Hint
P01107,2026-01-13,India,Android,Organic,35-44,Free_Hint
P01108,2026-01-09,United States,iOS,Organic,18-24,Control
P01109,2026-01-05,United Kingdom,Android,Google Ads,25-34,Control
P01110,2026-01-01,United States,iOS,Organic,45+,Daily_Reward
P01111,2026-01-08,India,Android,Google Ads,18-24,Free_Hint
P01112,2026-01-13,United States,iOS,Organic,25-34,Control
P01113,2026-01-13,India,Android,Referral,35-44,Daily_Reward
P01114,2026-01-11,India,Android,Meta Ads,35-44,Control
P01115,2026-01-12,Australia,iOS,Organic,18-24,Daily_Reward
P01116,2026-01-01,India,iOS,Meta Ads,35-44,Daily_Reward
P01117,2026-01-06,United States,Android,TikTok Ads,18-24,Free_Hint
P01118,2026-01-09,India,Android,Meta Ads,25-34,Control
P01119,2026-01-12,Australia,iOS,Organic,25-34,Free_Hint
P01120,2026-01-11,United States,Android,Google Ads,25-34,Daily_Reward
P01121,2026-01-07,United States,iOS,Google Ads,18-24,Daily_Reward
P01122,2026-01-12,United States,Android,Google Ads,18-24,Daily_Reward
P01123,2026-01-08,Canada,Android,Google Ads,45+,Free_Hint
P01124,2026-01-10,India,iOS,Google Ads,45+,Daily_Reward
P01125,2026-01-04,India,Android,Google Ads,25-34,Free_Hint
P01126,2026-01-06,United States,Android,Meta Ads,25-34,Daily_Reward
P01127,2026-01-14,India,Android,Organic,25-34,Control
P01128,2026-01-13,India,iOS,Meta Ads,25-34,Control
P01129,2026-01-03,United Kingdom,iOS,Referral,35-44,Daily_Reward
P01130,2026-01-07,India,iOS,Google Ads,45+,Free_Hint
P01131,2026-01-13,United States,Android,Google Ads,35-44,Daily_Reward
P01132,2026-01-13,India,Android,Organic,25-34,Daily_Reward
P01133,2026-01-15,India,iOS,Referral,25-34,Daily_Reward
P01134,2026-01-03,United Kingdom,Android,Meta Ads,25-34,Free_Hint
P01135,2026-01-09,United States,Android,Organic,35-44,Daily_Reward
P01136,2026-01-13,India,Android,Google Ads,25-34,Daily_Reward
P01137,2026-01-07,India,Android,Google Ads,25-34,Free_Hint
P01138,2026-01-15,United States,iOS,TikTok Ads,35-44,Daily_Reward
P01139,2026-01-01,United Kingdom,iOS,Google Ads,35-44,Daily_Reward
P01140,2026-01-14,India,iOS,Referral,35-44,Free_Hint
P01141,2026-01-10,United States,Android,TikTok Ads,18-24,Daily_Reward
P01142,2026-01-02,United Kingdom,Android,Google Ads,25-34,Daily_Reward
P01143,2026-01-11,Australia,Android,Organic,35-44,Free_Hint
P01144,2026-01-09,India,Android,Google Ads,18-24,Free_Hint
P01145,2026-01-08,India,Android,Google Ads,25-34,Daily_Reward
P01146,2026-01-07,United States,Android,TikTok Ads,25-34,Daily_Reward
P01147,2026-01-08,India,iOS,Google Ads,45+,Control
P01148,2026-01-13,India,Android,Google Ads,18-24,Daily_Reward
P01149,2026-01-13,India,Android,Google Ads,25-34,Control
P01150,2026-01-05,United States,Android,Google Ads,25-34,Free_Hint
P01151,2026-01-10,Australia,Android,Organic,25-34,Control
P01152,2026-01-05,India,iOS,TikTok Ads,18-24,Daily_Reward
P01153,2026-01-07,United States,Android,Google Ads,25-34,Free_Hint
P01154,2026-01-05,India,iOS,Meta Ads,45+,Free_Hint
P01155,2026-01-04,Australia,Android,Organic,18-24,Daily_Reward
P01156,2026-01-10,Canada,Android,Google Ads,45+,Free_Hint
P01157,2026-01-06,India,Android,TikTok Ads,18-24,Daily_Reward
P01158,2026-01-10,India,Android,Meta Ads,25-34,Control
P01159,2026-01-12,India,Android,Google Ads,25-34,Control
P01160,2026-01-02,India,iOS,TikTok Ads,25-34,Control
P01161,2026-01-08,India,Android,Google Ads,18-24,Free_Hint
P01162,2026-01-01,India,iOS,TikTok Ads,35-44,Control
P01163,2026-01-06,United States,Android,TikTok Ads,18-24,Control
P01164,2026-01-14,India,iOS,Referral,18-24,Daily_Reward
P01165,2026-01-01,India,Android,Google Ads,45+,Free_Hint
P01166,2026-01-14,United States,Android,Organic,25-34,Control
P01167,2026-01-09,India,iOS,Organic,25-34,Free_Hint
P01168,2026-01-09,Australia,iOS,Google Ads,35-44,Control
P01169,2026-01-12,Australia,Android,Organic,35-44,Daily_Reward
P01170,2026-01-10,Canada,Android,Organic,35-44,Free_Hint
P01171,2026-01-13,India,Android,Referral,25-34,Daily_Reward
P01172,2026-01-04,United States,iOS,Organic,35-44,Daily_Reward
P01173,2026-01-08,India,Android,Meta Ads,18-24,Free_Hint
P01174,2026-01-05,India,iOS,Google Ads,25-34,Control
P01175,2026-01-05,United Kingdom,Android,TikTok Ads,25-34,Control
P01176,2026-01-04,United States,Android,Meta Ads,25-34,Control
P01177,2026-01-10,India,Android,Organic,45+,Free_Hint
P01178,2026-01-12,India,Android,TikTok Ads,35-44,Free_Hint
P01179,2026-01-04,United States,iOS,Organic,25-34,Free_Hint
P01180,2026-01-13,India,Android,Organic,25-34,Free_Hint
P01181,2026-01-13,United States,Android,TikTok Ads,25-34,Free_Hint
P01182,2026-01-12,United Kingdom,Android,Meta Ads,25-34,Daily_Reward
P01183,2026-01-01,India,Android,TikTok Ads,18-24,Control
P01184,2026-01-02,India,iOS,Google Ads,35-44,Control
P01185,2026-01-08,India,Android,Organic,18-24,Free_Hint
P01186,2026-01-08,United Kingdom,Android,Organic,25-34,Free_Hint
P01187,2026-01-07,India,Android,Meta Ads,25-34,Daily_Reward
P01188,2026-01-07,India,Android,TikTok Ads,18-24,Daily_Reward
P01189,2026-01-08,India,Android,Google Ads,45+,Free_Hint
P01190,2026-01-08,India,iOS,TikTok Ads,25-34,Control
P01191,2026-01-14,Canada,Android,Google Ads,18-24,Control
P01192,2026-01-05,India,Android,Referral,25-34,Free_Hint
P01193,2026-01-01,United States,Android,Organic,25-34,Free_Hint
P01194,2026-01-08,India,iOS,TikTok Ads,25-34,Daily_Reward
P01195,2026-01-01,Australia,Android,Meta Ads,35-44,Daily_Reward
P01196,2026-01-12,India,Android,Google Ads,25-34,Daily_Reward
P01197,2026-01-14,United States,Android,Organic,25-34,Daily_Reward
P01198,2026-01-10,India,Android,Meta Ads,25-34,Free_Hint
P01199,2026-01-05,United States,iOS,Meta Ads,18-24,Daily_Reward
P01200,2026-01-06,Canada,Android,Meta Ads,25-34,Free_Hint
P01201,2026-01-02,India,Android,Google Ads,25-34,Free_Hint
P01202,2026-01-11,India,Android,Meta Ads,35-44,Daily_Reward
P01203,2026-01-04,India,iOS,Organic,18-24,Free_Hint
P01204,2026-01-14,Australia,iOS,Organic,25-34,Free_Hint
P01205,2026-01-06,United States,Android,TikTok Ads,25-34,Daily_Reward
P01206,2026-01-09,United States,iOS,Google Ads,25-34,Daily_Reward
P01207,2026-01-02,India,Android,Organic,25-34,Free_Hint
P01208,2026-01-05,United Kingdom,Android,TikTok Ads,25-34,Control
P01209,2026-01-08,India,Android,Google Ads,35-44,Daily_Reward
P01210,2026-01-03,United Kingdom,iOS,Referral,25-34,Free_Hint
P01211,2026-01-08,Australia,Android,Google Ads,25-34,Control
P01212,2026-01-06,India,Android,Meta Ads,25-34,Control
P01213,2026-01-06,United States,Android,Organic,45+,Free_Hint
P01214,2026-01-09,India,Android,TikTok Ads,25-34,Daily_Reward
P01215,2026-01-07,Canada,Android,Meta Ads,25-34,Control
P01216,2026-01-09,United Kingdom,iOS,Meta Ads,25-34,Daily_Reward
P01217,2026-01-15,United States,Android,Google Ads,25-34,Free_Hint
P01218,2026-01-06,United States,Android,Google Ads,45+,Free_Hint
P01219,2026-01-13,United Kingdom,iOS,Organic,35-44,Daily_Reward
P01220,2026-01-12,India,iOS,Organic,18-24,Control
P01221,2026-01-12,United Kingdom,Android,Organic,25-34,Daily_Reward
P01222,2026-01-01,United States,Android,Google Ads,45+,Control
P01223,2026-01-13,United States,Android,Google Ads,18-24,Control
P01224,2026-01-14,United States,Android,Referral,25-34,Daily_Reward
P01225,2026-01-12,India,iOS,Organic,35-44,Daily_Reward
P01226,2026-01-08,Canada,Android,TikTok Ads,25-34,Free_Hint
P01227,2026-01-06,United States,Android,Meta Ads,25-34,Control
P01228,2026-01-14,India,iOS,Google Ads,18-24,Control
P01229,2026-01-06,Canada,iOS,Organic,25-34,Free_Hint
P01230,2026-01-12,Canada,iOS,Google Ads,18-24,Daily_Reward
P01231,2026-01-14,Australia,iOS,Organic,25-34,Daily_Reward
P01232,2026-01-03,India,Android,Meta Ads,35-44,Free_Hint
P01233,2026-01-07,United States,Android,Organic,25-34,Daily_Reward
P01234,2026-01-14,India,Android,Organic,25-34,Daily_Reward
P01235,2026-01-01,Canada,iOS,Google Ads,35-44,Control
P01236,2026-01-08,India,iOS,Google Ads,25-34,Control
P01237,2026-01-02,Australia,Android,TikTok Ads,18-24,Free_Hint
P01238,2026-01-02,India,Android,Google Ads,25-34,Control
P01239,2026-01-04,Canada,Android,Google Ads,45+,Control
P01240,2026-01-12,Australia,Android,Google Ads,35-44,Control
P01241,2026-01-12,Australia,iOS,Meta Ads,45+,Daily_Reward
P01242,2026-01-01,India,iOS,Google Ads,45+,Daily_Reward
P01243,2026-01-07,India,Android,Meta Ads,45+,Free_Hint
P01244,2026-01-01,India,iOS,Google Ads,45+,Free_Hint
P01245,2026-01-08,United Kingdom,iOS,Google Ads,45+,Control
P01246,2026-01-15,India,Android,Organic,25-34,Control
P01247,2026-01-12,India,Android,Organic,25-34,Control
P01248,2026-01-08,India,Android,Meta Ads,18-24,Free_Hint
P01249,2026-01-01,India,Android,Google Ads,45+,Daily_Reward
P01250,2026-01-13,United Kingdom,Android,Organic,18-24,Control
P01251,2026-01-12,India,Android,TikTok Ads,25-34,Control
P01252,2026-01-01,United States,iOS,TikTok Ads,45+,Control
P01253,2026-01-05,United Kingdom,iOS,Google Ads,45+,Daily_Reward
P01254,2026-01-04,India,Android,Organic,25-34,Daily_Reward
P01255,2026-01-05,India,iOS,Meta Ads,25-34,Control
P01256,2026-01-10,Canada,iOS,TikTok Ads,18-24,Daily_Reward
P01257,2026-01-15,Australia,Android,Google Ads,25-34,Daily_Reward
P01258,2026-01-08,United States,Android,Meta Ads,25-34,Free_Hint
P01259,2026-01-09,United Kingdom,iOS,TikTok Ads,45+,Daily_Reward
P01260,2026-01-12,United States,Android,Meta Ads,25-34,Daily_Reward
P01261,2026-01-01,India,iOS,Organic,25-34,Free_Hint
P01262,2026-01-11,United States,Android,Google Ads,45+,Control
P01263,2026-01-03,India,Android,Meta Ads,25-34,Free_Hint
P01264,2026-01-14,United States,Android,TikTok Ads,18-24,Free_Hint
P01265,2026-01-09,India,Android,Meta Ads,18-24,Free_Hint
P01266,2026-01-01,India,Android,Referral,25-34,Free_Hint
P01267,2026-01-12,United Kingdom,iOS,Meta Ads,18-24,Control
P01268,2026-01-15,India,Android,Google Ads,18-24,Daily_Reward
P01269,2026-01-11,India,Android,TikTok Ads,35-44,Control
P01270,2026-01-08,Australia,Android,Meta Ads,25-34,Control
P01271,2026-01-07,United States,Android,Meta Ads,45+,Free_Hint
P01272,2026-01-05,United Kingdom,Android,TikTok Ads,35-44,Control
P01273,2026-01-09,United Kingdom,iOS,Meta Ads,25-34,Control
P01274,2026-01-09,Australia,Android,Meta Ads,25-34,Daily_Reward
P01275,2026-01-08,India,Android,Meta Ads,45+,Daily_Reward
P01276,2026-01-02,India,Android,Google Ads,18-24,Free_Hint
P01277,2026-01-13,India,Android,TikTok Ads,18-24,Free_Hint
P01278,2026-01-10,United States,iOS,Google Ads,18-24,Control
P01279,2026-01-01,United States,Android,Google Ads,18-24,Free_Hint
P01280,2026-01-01,United States,Android,Organic,25-34,Free_Hint
P01281,2026-01-13,India,Android,Google Ads,25-34,Daily_Reward
P01282,2026-01-10,India,Android,Organic,35-44,Control
P01283,2026-01-11,United States,Android,Organic,25-34,Control
P01284,2026-01-03,Canada,iOS,Google Ads,25-34,Control
P01285,2026-01-09,United States,Android,Google Ads,18-24,Free_Hint
P01286,2026-01-03,India,Android,Organic,18-24,Daily_Reward
P01287,2026-01-02,United States,iOS,Organic,45+,Daily_Reward
P01288,2026-01-03,United Kingdom,Android,Google Ads,25-34,Daily_Reward
P01289,2026-01-08,India,Android,Organic,25-34,Daily_Reward
P01290,2026-01-03,India,iOS,Meta Ads,25-34,Daily_Reward
P01291,2026-01-02,India,Android,Organic,25-34,Free_Hint
P01292,2026-01-12,India,iOS,Organic,45+,Control
P01293,2026-01-09,United States,iOS,TikTok Ads,18-24,Free_Hint
P01294,2026-01-14,Australia,Android,Meta Ads,25-34,Control
P01295,2026-01-11,United Kingdom,iOS,Meta Ads,25-34,Daily_Reward
P01296,2026-01-12,United States,Android,Google Ads,25-34,Daily_Reward
P01297,2026-01-05,India,iOS,Organic,35-44,Daily_Reward
P01298,2026-01-12,India,Android,Google Ads,25-34,Daily_Reward
P01299,2026-01-03,United States,iOS,Google Ads,25-34,Control
P01300,2026-01-07,United States,Android,Organic,18-24,Daily_Reward
P01301,2026-01-12,United Kingdom,Android,Google Ads,45+,Control
P01302,2026-01-03,United States,iOS,Referral,18-24,Control
P01303,2026-01-10,United Kingdom,iOS,Meta Ads,25-34,Free_Hint
P01304,2026-01-02,Canada,Android,Meta Ads,25-34,Control
P01305,2026-01-03,United States,Android,Google Ads,25-34,Control
P01306,2026-01-12,United Kingdom,Android,Google Ads,18-24,Daily_Reward
P01307,2026-01-02,India,iOS,TikTok Ads,18-24,Control
P01308,2026-01-12,India,Android,Google Ads,45+,Daily_Reward
P01309,2026-01-09,United States,iOS,Google Ads,18-24,Control
P01310,2026-01-14,Australia,Android,Referral,35-44,Daily_Reward
P01311,2026-01-09,Australia,Android,Meta Ads,18-24,Daily_Reward
P01312,2026-01-04,United States,Android,Organic,25-34,Control
P01313,2026-01-09,India,iOS,Google Ads,45+,Control
P01314,2026-01-04,United Kingdom,Android,Organic,18-24,Control
P01315,2026-01-12,India,Android,Google Ads,25-34,Control
P01316,2026-01-10,Canada,iOS,Google Ads,35-44,Daily_Reward
P01317,2026-01-07,India,Android,Google Ads,25-34,Daily_Reward
P01318,2026-01-03,Australia,Android,Organic,25-34,Free_Hint
P01319,2026-01-10,India,Android,TikTok Ads,25-34,Daily_Reward
P01320,2026-01-02,United States,Android,Meta Ads,25-34,Control
P01321,2026-01-06,Canada,Android,Organic,18-24,Free_Hint
P01322,2026-01-10,United States,Android,Meta Ads,18-24,Control
P01323,2026-01-09,United States,Android,Google Ads,35-44,Daily_Reward
P01324,2026-01-12,United States,Android,Referral,18-24,Control
P01325,2026-01-02,United States,iOS,Google Ads,45+,Free_Hint
P01326,2026-01-04,United States,Android,Organic,25-34,Daily_Reward
P01327,2026-01-08,India,Android,Meta Ads,18-24,Control
P01328,2026-01-02,India,Android,Organic,45+,Control
P01329,2026-01-01,India,iOS,TikTok Ads,25-34,Control
P01330,2026-01-11,Canada,Android,Meta Ads,25-34,Daily_Reward
P01331,2026-01-06,Australia,Android,Meta Ads,18-24,Free_Hint
P01332,2026-01-07,United States,Android,Google Ads,25-34,Daily_Reward
P01333,2026-01-14,India,Android,Referral,18-24,Free_Hint
P01334,2026-01-12,Canada,Android,Google Ads,35-44,Free_Hint
P01335,2026-01-06,United States,Android,Organic,35-44,Free_Hint
P01336,2026-01-10,United Kingdom,Android,Referral,35-44,Free_Hint
P01337,2026-01-03,India,Android,Google Ads,18-24,Free_Hint
P01338,2026-01-14,United Kingdom,Android,Organic,25-34,Control
P01339,2026-01-12,United States,Android,Organic,18-24,Control
P01340,2026-01-05,United States,Android,Organic,35-44,Free_Hint
P01341,2026-01-05,United Kingdom,iOS,Google Ads,18-24,Daily_Reward
P01342,2026-01-09,India,Android,Organic,25-34,Control
P01343,2026-01-12,United States,Android,Google Ads,25-34,Control
P01344,2026-01-12,Australia,iOS,Organic,25-34,Daily_Reward
P01345,2026-01-09,United States,Android,TikTok Ads,25-34,Daily_Reward
P01346,2026-01-03,Canada,iOS,Referral,35-44,Free_Hint
P01347,2026-01-05,India,iOS,Organic,18-24,Control
P01348,2026-01-02,India,Android,Organic,18-24,Free_Hint
P01349,2026-01-05,India,iOS,Referral,45+,Daily_Reward
P01350,2026-01-09,India,iOS,Meta Ads,25-34,Free_Hint
P01351,2026-01-03,India,iOS,Meta Ads,35-44,Daily_Reward
P01352,2026-01-08,United Kingdom,Android,Google Ads,25-34,Daily_Reward
P01353,2026-01-02,India,Android,TikTok Ads,25-34,Daily_Reward
P01354,2026-01-14,Canada,Android,TikTok Ads,18-24,Free_Hint
P01355,2026-01-04,United Kingdom,Android,Google Ads,35-44,Control
P01356,2026-01-14,India,Android,TikTok Ads,25-34,Free_Hint
P01357,2026-01-05,India,iOS,Organic,18-24,Free_Hint
P01358,2026-01-05,Australia,Android,Referral,25-34,Control
P01359,2026-01-08,India,Android,Organic,35-44,Daily_Reward
P01360,2026-01-03,Australia,iOS,Google Ads,35-44,Control
P01361,2026-01-13,Australia,Android,Referral,18-24,Daily_Reward
P01362,2026-01-01,Canada,Android,Referral,45+,Free_Hint
P01363,2026-01-01,India,Android,TikTok Ads,25-34,Control
P01364,2026-01-02,United States,Android,TikTok Ads,18-24,Daily_Reward
P01365,2026-01-11,India,Android,TikTok Ads,18-24,Free_Hint
P01366,2026-01-15,United States,Android,Organic,25-34,Daily_Reward
P01367,2026-01-15,United States,Android,TikTok Ads,18-24,Control
P01368,2026-01-07,India,iOS,Organic,35-44,Free_Hint
P01369,2026-01-08,United States,Android,Google Ads,25-34,Control
P01370,2026-01-08,India,iOS,Organic,25-34,Control
P01371,2026-01-05,India,iOS,Google Ads,18-24,Control
P01372,2026-01-01,India,Android,TikTok Ads,18-24,Daily_Reward
P01373,2026-01-06,Australia,Android,Organic,25-34,Free_Hint
P01374,2026-01-05,India,Android,Meta Ads,25-34,Daily_Reward
P01375,2026-01-03,India,Android,Google Ads,45+,Control
P01376,2026-01-03,United States,iOS,Meta Ads,25-34,Daily_Reward
P01377,2026-01-06,India,iOS,Organic,18-24,Free_Hint
P01378,2026-01-03,United Kingdom,Android,Organic,25-34,Control
P01379,2026-01-07,India,iOS,TikTok Ads,25-34,Free_Hint
P01380,2026-01-05,United States,iOS,Google Ads,18-24,Daily_Reward
P01381,2026-01-10,Canada,Android,TikTok Ads,45+,Control
